,Democratic,Other,Population,Republican,White
1,167444,15742,705105,146535,424029
2,116742,13387,679251,186210,414005
3,254201,6767,679790,26966,122082
4,100334,4302,705164,150603,382583
5,157739,13682,685979,138802,366974
6,130193,7813,702496,165268,389534
7,51364,7721,681557,192507,544295
8,111615,8976,704034,181674,464963
9,95587,6525,687328,154406,425999
10,185437,6782,702708,120204,291086
11,64842,9768,697441,233657,541300
12,100018,8361,678741,181299,458401
13,211231,9288,686815,79448,235582
14,130918,6227,691244,131935,353087
