,Democratic,Other,Population,Republican,White
1,109769,7362,688442,151893,418315
2,136713,4310,693118,107477,289934
3,102016,9065,692044,201003,473821
4,224907,7486,692976,68419,189618
5,256996,9546,684958,36361,193869
6,156160,16269,697295,160774,436042
7,131797,11849,688166,147868,342584
8,91768,5998,696700,168933,431117
9,57771,8639,693876,231771,550994
10,113383,9245,686359,188628,457826
11,114500,14141,683994,197547,473716
12,109386,6631,694472,154478,396336
13,215917,7279,702205,82090,212736
14,56582,7521,693048,192272,547012
