,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,149532.0,122856.0,4123.0,10470.0,701943.0,135349.0,180760.0,646275.0
2,290413.0,296626.0,2590.0,9267.0,707873.0,79681.0,67939.0,323419.0
3,255118.0,268501.0,3005.0,7849.0,692950.0,41437.0,45639.0,286574.0
4,131014.0,130611.0,5864.0,16007.0,714423.0,176931.0,191207.0,589317.0
5,98849.0,84159.0,4765.0,11712.0,704691.0,188299.0,221194.0,676689.0
6,140902.0,129368.0,4439.0,13137.0,704029.0,157907.0,178656.0,577842.0
7,184319.0,180836.0,4104.0,11930.0,714808.0,161934.0,173836.0,587752.0
8,137783.0,139653.0,4659.0,15017.0,699530.0,179350.0,192269.0,571671.0
9,167399.0,178623.0,4158.0,14671.0,711205.0,169153.0,172579.0,574219.0
10,144372.0,116777.0,5067.0,12703.0,703560.0,150710.0,179154.0,638990.0
11,170144.0,187369.0,3914.0,14208.0,697819.0,165974.0,156304.0,558557.0
12,138644.0,123891.0,3872.0,10887.0,713509.0,169568.0,198188.0,656723.0
13,94507.0,80193.0,4678.0,11166.0,700200.0,198934.0,228854.0,653203.0
14,106629.0,97740.0,5140.0,11223.0,709787.0,165837.0,194709.0,654128.0
15,196726.0,209643.0,5152.0,15784.0,704335.0,161769.0,155267.0,590679.0
16,251365.0,249004.0,2814.0,9527.0,694189.0,99264.0,100338.0,373642.0
17,146138.0,137879.0,3917.0,11350.0,709417.0,134431.0,164794.0,560138.0
18,180575.0,180769.0,3686.0,11175.0,700661.0,140403.0,153811.0,558288.0
