,Democratic,Other,Population,Republican,White
1,249840.0,9453.0,691093.0,95295.0,354706.0
2,115559.0,10630.0,693471.0,204406.0,650563.0
3,204290.0,13796.0,706173.0,170818.0,596935.0
4,126110.0,9919.0,713627.0,181430.0,644075.0
5,215246.0,12610.0,712548.0,140461.0,549819.0
6,199812.0,14838.0,699753.0,158359.0,576818.0
7,98155.0,11389.0,717655.0,202779.0,668449.0
8,145358.0,11938.0,714074.0,163443.0,558352.0
9,120988.0,13096.0,701658.0,187524.0,590606.0
10,99126.0,13745.0,702819.0,217295.0,625361.0
11,91109.0,10464.0,692204.0,209851.0,657614.0
12,139135.0,12463.0,702081.0,162922.0,538204.0
13,308763.0,8552.0,711205.0,44031.0,286826.0
14,116434.0,12805.0,710264.0,181896.0,648021.0
15,175467.0,15472.0,714588.0,193087.0,625348.0
16,114760.0,15767.0,697571.0,206050.0,619390.0
17,224299.0,6502.0,694037.0,71404.0,313562.0
18,170047.0,14644.0,710108.0,164447.0,573457.0
