,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,211767.0,218183.0,2515.0,6934.0,706075.0,58631.0,68800.0,333199.0
2,345064.0,336184.0,2201.0,6907.0,705393.0,22977.0,21511.0,161833.0
3,143622.0,115965.0,5068.0,12752.0,701346.0,149532.0,178204.0,639338.0
4,110218.0,102899.0,5195.0,14161.0,704866.0,187164.0,214098.0,618944.0
5,102911.0,90377.0,5052.0,10623.0,699936.0,168459.0,199908.0,658283.0
6,159096.0,156285.0,4495.0,14573.0,704344.0,162244.0,166686.0,566807.0
7,214082.0,224821.0,3556.0,12212.0,707149.0,141351.0,136412.0,498595.0
8,178638.0,183469.0,4221.0,13764.0,705352.0,170696.0,181941.0,607275.0
9,103447.0,86146.0,4601.0,9787.0,702683.0,193413.0,223110.0,667626.0
10,107074.0,86002.0,4689.0,10637.0,702395.0,153267.0,195035.0,641973.0
11,133769.0,133840.0,4445.0,14108.0,702481.0,176682.0,193171.0,577737.0
12,149349.0,154225.0,4417.0,15331.0,706028.0,205021.0,211509.0,653241.0
13,212063.0,234693.0,3921.0,13881.0,706146.0,154170.0,140141.0,552229.0
14,233238.0,237492.0,4961.0,12929.0,706284.0,110521.0,111616.0,509638.0
15,158953.0,160600.0,3809.0,12312.0,705468.0,136727.0,155536.0,533059.0
16,131505.0,138050.0,5111.0,15731.0,705422.0,172088.0,178364.0,581998.0
17,156660.0,133437.0,3949.0,10128.0,707954.0,130334.0,172633.0,616642.0
18,132973.0,121830.0,3741.0,11313.0,705607.0,183654.0,206823.0,659689.0
