,Democratic,Other,Population,Republican,White
1,189444.0,14567.0,705883.0,181836.0,604406.0
2,206900.0,6244.0,705876.0,70700.0,311949.0
3,339662.0,7731.0,705755.0,26173.0,204070.0
4,220682.0,14043.0,705832.0,146978.0,563033.0
5,227385.0,10862.0,705043.0,124144.0,469133.0
6,185258.0,14426.0,704849.0,152676.0,538135.0
7,159718.0,12320.0,705137.0,156051.0,534724.0
8,147641.0,14809.0,703673.0,179708.0,552588.0
9,114946.0,15883.0,704973.0,200531.0,614431.0
10,90633.0,11811.0,698969.0,200353.0,652795.0
11,81513.0,11192.0,706037.0,227606.0,658266.0
12,111618.0,10520.0,704947.0,207295.0,661223.0
13,81013.0,10440.0,704365.0,211959.0,673064.0
14,121873.0,13267.0,701954.0,185366.0,638524.0
15,178112.0,15483.0,704146.0,187492.0,630693.0
16,224851.0,12612.0,705516.0,126991.0,524457.0
17,135691.0,9410.0,705864.0,165179.0,598795.0
18,97558.0,12463.0,706110.0,204460.0,647820.0
