,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,221141.0,224636.0,2956.0,8266.0,706152.0,75158.0,87840.0,374081.0
2,344779.0,335983.0,2209.0,6955.0,705882.0,23125.0,21692.0,162487.0
3,155360.0,128969.0,4674.0,12291.0,700963.0,147511.0,174992.0,628873.0
4,152794.0,158234.0,5163.0,13971.0,703449.0,156931.0,164569.0,545410.0
5,102395.0,89820.0,4904.0,12606.0,703331.0,193543.0,220192.0,673780.0
6,137539.0,139049.0,4617.0,15480.0,705022.0,191531.0,199750.0,635963.0
7,211820.0,234651.0,3765.0,13405.0,706247.0,153828.0,137677.0,532611.0
8,188103.0,190394.0,3297.0,10385.0,706007.0,129066.0,139088.0,502965.0
9,97577.0,88497.0,4958.0,13523.0,699286.0,197308.0,228916.0,646875.0
10,95746.0,78427.0,4866.0,10465.0,704171.0,172242.0,206762.0,663321.0
11,120682.0,99327.0,4505.0,11557.0,712829.0,165944.0,210723.0,657086.0
12,202768.0,211987.0,4622.0,14779.0,706268.0,160383.0,155108.0,564978.0
13,207572.0,228705.0,3991.0,14289.0,705753.0,156489.0,144496.0,554285.0
14,190187.0,185888.0,4543.0,12522.0,704717.0,136996.0,148781.0,588645.0
15,116828.0,108209.0,4991.0,14666.0,705438.0,192702.0,219706.0,640351.0
16,159719.0,159274.0,4236.0,12604.0,705719.0,116813.0,126576.0,472880.0
17,170059.0,155491.0,3637.0,10244.0,699084.0,109957.0,142063.0,561570.0
18,109360.0,96957.0,4013.0,10075.0,704611.0,197404.0,226567.0,671945.0
