,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,135459.0,109858.0,4910.0,12194.0,667814.0,142293.0,169051.0,606320.0
2,96254.0,76294.0,4421.0,10849.0,667925.0,160661.0,200812.0,629711.0
3,161669.0,140297.0,3781.0,9935.0,707523.0,121492.0,162936.0,601337.0
4,149982.0,144318.0,3929.0,11414.0,707376.0,133609.0,158882.0,543339.0
5,103411.0,94379.0,4809.0,10341.0,669194.0,158192.0,183944.0,619284.0
6,109287.0,95027.0,4481.0,11454.0,677661.0,182659.0,208701.0,645161.0
7,163198.0,163159.0,4786.0,15713.0,733126.0,175477.0,185791.0,601365.0
8,183952.0,199771.0,4259.0,15518.0,735329.0,184016.0,173817.0,608246.0
9,199979.0,211638.0,4305.0,14473.0,740088.0,175904.0,178008.0,616451.0
10,93030.0,83066.0,4422.0,11554.0,674789.0,189040.0,218604.0,625680.0
11,148190.0,148416.0,5177.0,15441.0,723155.0,176852.0,189800.0,571640.0
12,122994.0,122953.0,5574.0,15935.0,740159.0,188564.0,203728.0,633454.0
13,113533.0,99501.0,3587.0,9598.0,670700.0,166666.0,197534.0,631827.0
14,210007.0,213407.0,4487.0,12218.0,670844.0,126927.0,128398.0,510744.0
15,172109.0,179697.0,4407.0,14827.0,678248.0,174557.0,173265.0,589650.0
16,246475.0,262952.0,3864.0,12664.0,740931.0,133050.0,124204.0,531446.0
17,245159.0,237980.0,2114.0,6409.0,739864.0,57169.0,67632.0,305177.0
18,329741.0,331785.0,2634.0,7546.0,740203.0,29803.0,30391.0,207274.0
