,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,253614.0,261632.0,2469.0,7176.0,704845.0,44026.0,49684.0,263480.0
2,331928.0,322165.0,2300.0,7226.0,706591.0,30867.0,29745.0,181405.0
3,136489.0,111992.0,5102.0,12742.0,701912.0,157772.0,187852.0,643937.0
4,119183.0,114299.0,5364.0,14829.0,705629.0,184570.0,207332.0,608087.0
5,106702.0,93322.0,5252.0,11082.0,702033.0,166318.0,197240.0,656863.0
6,207298.0,236208.0,3911.0,14110.0,703552.0,152175.0,133751.0,550629.0
7,160439.0,165150.0,4112.0,14287.0,705656.0,186476.0,187613.0,618812.0
8,168251.0,180911.0,4495.0,15740.0,706994.0,199953.0,203123.0,636468.0
9,104869.0,84569.0,4395.0,8810.0,701683.0,173921.0,207223.0,660748.0
10,148439.0,131482.0,4123.0,11485.0,707408.0,143524.0,181819.0,604090.0
11,122391.0,120039.0,4235.0,13017.0,700361.0,177101.0,197517.0,586637.0
12,151450.0,151952.0,4432.0,14955.0,704775.0,203079.0,207926.0,649943.0
13,195181.0,193958.0,3349.0,10093.0,707074.0,110630.0,122097.0,504397.0
14,233928.0,237987.0,4964.0,12923.0,705661.0,108882.0,110007.0,506833.0
15,139561.0,130481.0,4132.0,11801.0,705957.0,144499.0,172857.0,566288.0
16,140081.0,139690.0,5254.0,15473.0,705092.0,161227.0,168738.0,543648.0
17,129009.0,108741.0,4197.0,9758.0,703519.0,132055.0,172400.0,629527.0
18,135616.0,129920.0,3861.0,12576.0,706187.0,199856.0,218574.0,666314.0
